ID,title,Directed by ,Written by,Produced by ,Starring,Cinematography,Edited by ,Music by,Produced companies,distributed by,Running time, budget , box office , net profit/loss 
98,Fifty Shades of Grey,Sam Taylor-Johnson,,"Michael De Luca, E. L. James, Dana Brunetti","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Marcia Gay Harden",Seamus McGarvey,"Debra Neil-Fisher, Anne V. Coates, Lisa Gunning",Danny Elfman,"Focus Features , Michael De Luca Productions , Trigger Street Productions ",Universal Pictures ,125 minutes ," $4,00,00,000.00 "," $56,97,00,000.00 "," $52,97,00,000.00 "
25,Fast Five,Justin Lin,Chris Morgan,"Neal H. Moritz, Vin Diesel, Michael Fottrell","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Chris Ludacris Bridges, Matt Schulze, Sung Kang, Dwayne Johnson",Stephen F. Windon,"Christian Wagner, Kelly Matsumoto, Fred Raskin",Brian Tyler,"Original Film, One Race Films",Universal Pictures,130 minutes ," $12,50,00,000.00 "," $62,61,00,000.00 "," $50,11,00,000.00 "
158,I Am Losing Weight,Aleksey Nuzhnyy,,"Sergey Kornikhin, Nikolay Kulikov, Aleksey Nuzhnyy, Alena Kremer, Ekaterina Kononenko, Ilya Naishuller","Aleksandra Bortich, Irina Gorbacheva, Yevgeny Kulik, Roman Kurtsyn, Sergey Shnurov",Kirill Klepalov Evgeny Kolskiy,Avet Oganesnyan,Dmitriy Lanskoy Dmitriy Emelyanov,Droog Drooga Versus Pictures,Universal Pictures International  ,102  minutes," $8,70,00,000.00 "," $63,30,00,000.00 "," $54,60,00,000.00 "
138,Sing,Garth Jennings,Garth Jennings,"Chris Meledandri, Janet Healy","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly",Guylo Homsy ,Gregory Perler ,Joby Talbot,,Universal Pictures,107 minutes ," $7,50,00,000.00 "," $63,40,00,000.00 "," $55,90,00,000.00 "
188,Hobbs & Shaw,David Leitch,,"Dwayne Johnson, Jason Statham, Chris Morgan, Hiram Garcia","Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Cliff Curtis, Helen Mirren",Jonathan Sela,Christopher Rouse,Tyler Bates,"Seven Bucks Productions, Chris Morgan Productions ",Universal Pictures,137 minutes ," $20,00,00,000.00 "," $76,07,00,000.00 "," $56,07,00,000.00 "
60,Fast & Furious 6,Justin Lin,Chris Morgan,"Neal H. Moritz, Vin Diesel, Clayton Townsend","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Chris Ludacris Bridges, Sung Kang, Luke Evans, Gina Carano, John Ortiz",Stephen F. Windon,"Christian Wagner, Kelly Matsumoto, Dylan Highsmith",Lucas Vidal,"Relativity Media , Original Film , One Race Films , Dentsu ",Universal Pictures ,130 minutes ," $26,00,00,000.00 "," $78,87,00,000.00 "," $52,87,00,000.00 "
128,The Secret Life of Pets,Chris Renaud,"Cinco Paul, Ken Daurio , Brian Lynch ","Chris Meledandri , Janet Healy ","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Steve Coogan, Albert Brooks",,Ken Schretzmann,Alexandre Desplat,,Universal Pictures,86 minutes ," $7,50,00,000.00 "," $88,53,00,000.00 "," $81,03,00,000.00 "
62,Despicable Me 2,"Chris Renaud, Pierre Coffin",Cinco Paul Ken Daurio,"Chris Meledandri, Janet Healy","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong",,Gregory Perler,"Heitor Pereira , Pharrell Williams ",,Universal Pictures,98 minutes ," $7,60,00,000.00 "," $97,10,00,000.00 "," $89,50,00,000.00 "
146,Despicable Me 3,"Pierre Coffin, Kyle Balda",Cinco Paul Ken Daurio,"Chris Meledandri, Janet Healy","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Steve Coogan, Jenny Slate, Dana Gaier, Julie Andrews",,Claire Dodgson,"Heitor Pereira , Pharrell Williams ","Universal Pictures , Illumination ",Universal Pictures ,90 minutes ," $8,00,00,000.00 "," $1,03,50,00,000.00 "," $95,50,00,000.00 "
105,Minions,"Pierre Coffin, Kyle Balda",Brian Lynch,"Chris Meledandri, Janet Healy","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders, Pierre Coffin, Geoffrey Rush",,Claire Dodgson,Heitor Pereira,,Universal Pictures,91 minutes ," $7,40,00,000.00 "," $1,15,90,00,000.00 "," $1,08,50,00,000.00 "
